,id,suc,store_point,lon,lat,geometry
0,0,Del Valle,POINT (-99.170014 19.390303),-99.170014,19.390303,"POLYGON ((-99.17001399999999 19.42417927323487, -99.15821453808481 19.42227439570501, -99.1479044474046 19.41689996071068, -99.15008832597044 19.4026542963591, -99.12386833274303 19.40138533291956, -99.12257859518841 19.38656683361624, -99.12642887585015 19.37215380673078, -99.1350007658896 19.3597078285393, -99.143817577552 19.34599309680274, -99.16403130493281 19.35690612089162, -99.1759966950672 19.35690612089161, -99.18353289436055 19.36837624707001, -99.18752225099158 19.37500626916893, -99.19373197292866 19.38843646344348, -99.18735801294402 19.39430443408471, -99.19019862406442 19.40226968436428, -99.18463356821165 19.40812451772702, -99.17931802742297 19.41412519739546, -99.17001399999999 19.42417927323487))"
1,1,Condesa,POINT (-99.171377 19.411885),-99.171377,19.411885,"POLYGON ((-99.17137700000002 19.43729216466942, -99.16364727426136 19.43324530608656, -99.15675550191678 19.42970647473576, -99.14834430556252 19.42484191044786, -99.14830190374641 19.41742761720203, -99.14765589959148 19.41001846601163, -99.14958035835492 19.40281173301251, -99.15386644207183 19.39658830442536, -99.15409996219455 19.38224308597238, -99.16539351710878 19.37848819996907, -99.175294258335 19.38960878049307, -99.18865403780548 19.38224308597238, -99.1888875579282 19.39658830442536, -99.19509810040854 19.41001846601163, -99.19445209625361 19.41742761720203, -99.18882592866426 19.42131454015125, -99.18599849808325 19.42970647473576, -99.17910672573866 19.43324530608655, -99.17137700000002 19.43729216466942))"
2,2,Polanco,POINT (-99.198381 19.430748),-99.198381,19.430748,"POLYGON ((-99.19838100000001 19.45333209389066, -99.18375781306899 19.4485694371282, -99.17845039535995 19.44309923896045, -99.16375350875502 19.43902203063271, -99.1716658733437 19.42897462940949, -99.15478510900613 19.41259887564097, -99.16335912254647 19.40015295690282, -99.19446329021183 19.40847182664129, -99.2022987097882 19.40847182664129, -99.2156600288303 19.40110614695647, -99.23340287745356 19.40015295690282, -99.23113575251382 19.41726225582545, -99.23397835751564 19.42809338570606, -99.233008491245 19.43902203063271, -99.23824522446424 19.45544827158482, -99.2276305671548 19.46638966024409, -99.20611161873278 19.45210826157804, -99.19838100000001 19.45333209389066))"
3,3,Lomas,POINT (-99.208970 19.427766),-99.20897,19.427766,"POLYGON ((-99.20896999999999 19.45035010130375, -99.19716783191583 19.45973726351727, -99.19434708018535 19.4455874430755, -99.18903975931383 19.44011724319577, -99.18589266155975 19.4333086062236, -99.18524659558335 19.42589946790374, -99.18408387754353 19.41838504510006, -99.18247606423829 19.40506083251513, -99.18631566082209 19.38804020506048, -99.20113578979506 19.38321349972174, -99.2128876383841 19.40548981934333, -99.22624871391992 19.39812413731232, -99.26240409288195 19.38283264023682, -99.25267896120671 19.40986709290177, -99.25641626653228 19.4240298360938, -99.24359685911843 19.43604003365245, -99.24883349600182 19.45246628041974, -99.25356456603949 19.48068716072138, -99.23299041970364 19.49156962483932, -99.20896999999999 19.45035010130375))"
4,4,Santa Fe,POINT (-99.280397 19.360659),-99.280397,19.360659,"POLYGON ((-99.28039699999999 19.40582747974624, -99.26494037308697 19.4033794751556, -99.23582075025794 19.41358056274038, -99.24054986186533 19.38535947895752, -99.24578433547607 19.36893310151324, -99.2448311831392 19.35780789875501, -99.24765625907966 19.34717315837999, -99.26289191268236 19.34536222079739, -99.26850080025181 19.34110001453984, -99.27648096501282 19.33838265535963, -99.28431303498716 19.33838265535963, -99.29823872529882 19.33132270073846, -99.37506578151081 19.28336721765001, -99.30521372655406 19.35114039684036, -99.31596281686079 19.35780789875501, -99.30662792311037 19.3657230901991, -99.29501392163036 19.37848057671293, -99.28812430589559 19.38201942677479, -99.28039699999999 19.40582747974624))"
5,5,Coyoacan,POINT (-99.177612 19.345493),-99.177612,19.345493,"POLYGON ((-99.177612 19.36807730545259, -99.16581576674348 19.37746455353533, -99.15550849575627 19.37209009342003, -99.1576917743218 19.35784435983854, -99.13147894961992 19.3565754020417, -99.13018955398825 19.34175683067805, -99.13403877323887 19.32734373054227, -99.15113135519039 19.3227876323293, -99.15496901173246 19.30576685288968, -99.18359306269566 19.31209595694273, -99.20025498826753 19.30576685288968, -99.20409264480961 19.3227876323293, -99.22118522676112 19.32734373054227, -99.19538874064078 19.34401625286402, -99.20067774641133 19.35103566302347, -99.18770118467425 19.35147665438006, -99.19222756950521 19.36331460686134, -99.18533859094634 19.36685346245447, -99.177612 19.36807730545259))"
6,6,Satelite,POINT (-99.229445 19.509389),-99.229445,19.509389,"POLYGON ((-99.229445 19.5545567397325, -99.20541251922035 19.57319204607221, -99.20018129305046 19.54503034075136, -99.1895615161265 19.53408903820429, -99.20635610270297 19.51493154968932, -99.2057097180174 19.50752247765976, -99.20763533251967 19.50031582337958, -99.21192398123816 19.49409246412801, -99.21811078899474 19.48952665423571, -99.22160687673016 19.46483689934519, -99.23543205529417 19.47599255815198, -99.2467323546026 19.47974740174298, -99.26448374554751 19.47879420716401, -99.2622155462207 19.49590336553025, -99.26505952988468 19.50673440024006, -99.2756243679781 19.52047114866865, -99.26932848387351 19.5340890382043, -99.25870870694955 19.54503034075135, -99.24491573950259 19.55210876982382, -99.229445 19.5545567397325))"
7,7,Queretaro,POINT (-100.359438 20.573550),-100.359438,20.57355,"POLYGON ((-100.359438 20.61871230769796, -100.3438624633163 20.61626459307939, -100.3299761400832 20.60918691443829, -100.2977731049732 20.60842482887821, -100.3129463556792 20.58463046679615, -100.3116472355014 20.56981392093452, -100.3374810115405 20.56447783550843, -100.3417986693382 20.55825525130516, -100.3012464918878 20.48803459754615, -100.4013490520101 20.5051011023819, -100.4369623767955 20.54332671072802, -100.4311710087333 20.56852662959049, -100.4410953198428 20.59178544458514, -100.3995913856969 20.5982468076049, -100.3895834234618 20.60866657577768, -100.359438 20.61871230769796))"
,,,,,,
,Derrumbe,Miguel Negrete y Ni–os HŽroes,,-99.1484456,19.3877398,
