id,suc,store_point,lon,lat
Danos,Hospital General Dr. Manuel Gea,,-99.1642673,19.290087
Danos,Calzada de la viga y Anastasio Sarabia,,-99.1227088,19.3617115
Dano mayor,Residencial Tlacoquemecatl,,-99.1746147,19.3780309
Danos,Residencial Miguel Negrete y Ni_os H_roes,,-99.1484456,19.3877398
Danos,Residencial Xola y Bolivar,,-99.1462771,19.3948528
Danos,Patricio Sans y Torres Adalid,,-99.1726936,19.3901974
Danos,Patricio Sans 612,,-99.1707051,19.3915996
Danos,Edificio Servicio Nacional del Empleo,,-99.1634051,19.3977465
Dano mayor,Baja California y Manzanillo,,-99.1677978,19.4080493
Danos,Chihuahua y Orizaba,,-99.1606335,19.4172789
Danos,Puebla y Medellin,,-99.1683086,19.4214881
Danos,Genova,,-99.1664587,19.4267575
Danos,San Antonio Abad y Chavero,,-99.1366756,19.4170186
Dano mayor,Republica de Argentina y el Carmen,,-99.1304957,19.4372656
Dano mayor,Edificio SNTE,,-99.1311086,19.4372966
Danos,Vallarta e Ignacio Ramirez,,-99.1567542,19.4347052
Dano mayor,Aeropuerto Internacional de la CDMX,,-99.0865854,19.4240967
Dano mayor,Fuente del Pescador,,-99.2567572,19.4006283
