id,suc,store_point,lon,lat
Acopio,Estadio Olimpico Universitario,POINT (-99.192188 19.332257),-99.192188,19.332257
Acopio,Rio Hondo 1,POINT (-99.199634 19.344903),-99.199634,19.344903
Acopio,Av. Arteaga y Salazar 1267,POINT (-99.278472 19.353339),-99.278472,19.353339
Acopio,Av. Javier Barros Sierra 540,POINT (-99.36496 19.36496),-99.36496,19.36496
Acopio,Bosque de Toronjos 39,POINT (-99.26308 19.379804),-99.26308,19.379804
Acopio,Paseo de Los Tamarindos 49,POINT (-99.250596 19.39113),-99.250596,19.39113
Acopio,Cda. De Bezares 130,POINT (-99.24184 19.390844),-99.24184,19.390844
Acopio,Bosque de Avellanos 142,POINT (-99.253089 19.401311),-99.253089,19.401311
Acopio,Universidad Anahuac Sur,POINT (-99.24448 19.334312),-99.24448,19.334312
Acopio,Sierra Amatepec 193,POINT (-99.230742 19.419474),-99.230742,19.419474
Acopio,Fuente de las Piramides 37,POINT (-99.226561 19.426318),-99.226561,19.426318
Acopio,Montana Calizas 446,POINT (-99.219434 19.425229),-99.219434,19.425229
Acopio,Prado Sur 440,POINT (-99.210299 19.42176),-99.210299,19.42176
Acopio,Blvd. De los Virreyes 110,POINT (-99.208301 19.420626),-99.208301,19.420626
Acopio,Cruz Roja Polanco,POINT (-99.208989 19.438092),-99.208989,19.438092
Acopio,Angel Peralta Polanco,POINT (-99.194168 19.429727),-99.194168,19.429727
Acopio,Glorieta de Masaryk,POINT (-99.195061 19.4319),-99.195061,19.4319
Acopio,Ruben Dario 115,POINT (-99.185043 19.429377),-99.185043,19.429377
Acopio,Glorieta de Cibeles,POINT (-99.166275 19.420069),-99.166275,19.420069
Acopio,Espana Park,POINT (-99.171 19.415306),-99.171,19.415306
Acopio,Parque Mexico,POINT (-99.169192 19.412251),-99.169192,19.412251
Acopio,Huerto Roma Verde,POINT (-99.159658 19.411462),-99.159658,19.411462
Acopio,Zocalo,POINT (-99.133248 19.432966),-99.133248,19.432966
Acopio,Metrobus Etiopia,POINT (-99.1558 19.398582),-99.1558,19.398582
Acopio,Heriberto Frias 819,POINT (-99.160926 19.387928),-99.160926,19.387928
