id,suc,store_point,lon,lat
Albergue,Villa Mujeres,POINT (-99.155068 19.155068),-99.155068,19.155068
Albergue,Castilla Oriente,POINT (-99.1845903 19.4838002),-99.1845903,19.4838002
Albergue,Casa del peregrino,POINT (-99.11004 19.483316),-99.11004,19.483316
Albergue,Preparatoria Popular Martires de Tlatelolco,POINT (-99.1617717 19.4553387),-99.1617717,19.4553387
Albergue,Deportivo Plan Sexenal,POINT (-99.173115 19.453989),-99.173115,19.453989
Albergue,Deportivo Pavon,POINT (-99.193352 19.448796),-99.193352,19.448796
Albergue,Deportivo Cuautemoc,POINT (-99.1535962 19.4424244),-99.1535962,19.4424244
Albergue,Plaza del Estudiante,POINT (-99.1306164 19.4406296),-99.1306164,19.4406296
Albergue,Deportivo Mina,POINT (-99.1502748 19.4397608),-99.1502748,19.4397608
Albergue,Museo parque lira,POINT (-99.188787 19.405886),-99.188787,19.405886
Albergue,Club junior,POINT (-99.1736609 19.4048648),-99.1736609,19.4048648
Albergue,Centro Social Fraccionamiento Coyuya,POINT (-99.116757 19.401163),-99.116757,19.401163
Albergue,Casi coruna jovenes,POINT (-99.131704 19.398999),-99.131704,19.398999
Albergue,Casa de adulto mayor elena poniatowska,POINT (-99.06866 19.414111),-99.06866,19.414111
Albergue,Sala de armas de la magadalena mixihuca,POINT (-99.091637 19.407581),-99.091637,19.407581
Albergue,Casa de la mujer mariposas iztacalco,POINT (-99.081541 19.393284),-99.081541,19.393284
Albergue,Deportivo alvaro obregon,POINT (-99.199703 19.387702),-99.199703,19.387702
Albergue,Deportivo benito juarez,POINT (-99.158393 19.371305),-99.158393,19.371305
Albergue,Deportivo rosario iglesias,POINT (-99.121312 19.303176),-99.121312,19.303176
Albergue,Villa olimpica,POINT (-99.1881 19.296697),-99.1881,19.296697
Albergue,Deportivo cuajimalpa,POINT (-99.289306 19.362448),-99.289306,19.362448
