,id,suc,store_point,lon,lat
1,Danos,Hospital General Dr. Manuel Gea,POINT (-99.1642673 19.290087),-99.1642673,19.290087
2,Danos,Calzada de la viga y Anastasio Sarabia,POINT (-99.1227088 19.3617115),-99.1227088,19.3617115
3,Dano mayor,Residencial Tlacoquemecatl,POINT (-99.1746147 19.3780309),-99.1746147,19.3780309
4,Danos,Residencial Miguel Negrete y Ni_os H_roes,POINT (-99.1484456 19.3877398),-99.1484456,19.3877398
5,Danos,Residencial Xola y Bolivar,POINT (-99.1462771 19.3948528),-99.1462771,19.3948528
6,Danos,Patricio Sans y Torres Adalid,POINT (-99.1726936 19.3901974),-99.1726936,19.3901974
7,Danos,Patricio Sans 612,POINT (-99.1707051 19.3915996),-99.1707051,19.3915996
8,Danos,Edificio Servicio Nacional del Empleo,POINT (-99.1634051 19.3977465),-99.1634051,19.3977465
9,Dano mayor,Baja California y Manzanillo,POINT (-99.1677978 19.4080493),-99.1677978,19.4080493
10,Danos,Chihuahua y Orizaba,POINT (-99.1606335 19.4172789),-99.1606335,19.4172789
11,Danos,Puebla y Medellin,POINT (-99.1683086 19.4214881),-99.1683086,19.4214881
12,Danos,Genova,POINT (-99.1664587 19.4267575),-99.1664587,19.4267575
13,Danos,San Antonio Abad y Chavero,POINT (-99.1366756 19.4170186),-99.1366756,19.4170186
14,Dano mayor,Republica de Argentina y el Carmen,POINT (-99.1304957 19.4372656),-99.1304957,19.4372656
15,Dano mayor,Edificio SNTE,POINT (-99.1311086 19.4372966),-99.1311086,19.4372966
16,Danos,Vallarta e Ignacio Ramirez,POINT (-99.1567542 19.4347052),-99.1567542,19.4347052
17,Dano mayor,Aeropuerto Internacional de la CDMX,POINT (-99.0865854 19.4240967),-99.0865854,19.4240967
18,Dano mayor,Fuente del Pescador,POINT (-99.2567572 19.4006283),-99.2567572,19.4006283
