,id,suc,store_point,lon,lat
1,Derrumbe,Miguel Negrete y Ni_os H_roes,POINT (-99.1484456 19.3877398),-99.1484456,19.3877398
2,Derrumbe,Guadalupe Ramirez y 16 sept,POINT (-99.1324038 19.2724324),-99.1324038,19.2724324
3,Derrumbe,Tec de Monterrey CDMX,POINT (-99.1383662 19.2838273),-99.1383662,19.2838273
4,Derrumbe,Acoxpa y trancas,POINT (-99.1255281 19.2920581),-99.1255281,19.2920581
5,Derrumbe,Av Mexico y Cuahutemoc,POINT (-99.1061904 19.2933211),-99.1061904,19.2933211
6,Derrumbe,Escuela Enrique Rebsamen,POINT (-99.1327225 19.296988),-99.1327225,19.296988
7,Derrumbe,Calzada del hueso y rancho del arco,POINT (-99.1251791 19.3033546),-99.1251791,19.3033546
8,Derrumbe,10 de abril y anenecuilco,POINT (-99.1111852 19.3165437),-99.1111852,19.3165437
9,Derrumbe,Escuela Montesqueu,POINT (-99.1368913 19.3165082),-99.1368913,19.3165082
10,Derrumbe,Soriana Taxque_a,POINT (-99.1437585 19.3428605),-99.1437585,19.3428605
16,Derrumbe,Puebla y Orizaba,POINT (-99.146265 19.3877512),-99.146265,19.3877512
17,Derrumbe,Gabriel Mancera y Eugenia,POINT (-99.1652675 19.3866975),-99.1652675,19.3866975
18,Derrumbe,Patricio Sans y California,POINT (-99.1726883 19.3816149),-99.1726883,19.3816149
21,Derrumbe,Av Coyoacan y Providencia,POINT (-99.167299 19.3974597),-99.167299,19.3974597
23,Derrumbe,Amores y Viaducto,POINT (-99.162399 19.4017452),-99.162399,19.4017452
24,Derrumbe,Baja California y Torreon,POINT (-99.1628185 19.4050345),-99.1628185,19.4050345
26,Derrumbe,Eje 2 y Amsterdam,POINT (-99.1670705 19.4128675),-99.1670705,19.4128675
27,Derrumbe,Alvaro Obregon y Valladolid,POINT (-99.1665561 19.4169795),-99.1665561,19.4169795
34,Derrumbe,Mina 16 y 2 de abril,POINT (-99.1418991 19.4383443),-99.1418991,19.4383443
35,Derrumbe,Lerdo y Magnolia,POINT (-99.1463198 19.4427896),-99.1463198,19.4427896
36,Derrumbe,Comonfort y Jaime Nuno,POINT (-99.1372099 19.4456975),-99.1372099,19.4456975
38,Derrumbe,Laguna de terminos y lago cuitzeo,POINT (-99.1765822 19.4418086),-99.1765822,19.4418086
39,Derrumbe,Sierravista y Ticoman,POINT (-99.12286 19.493795),-99.12286,19.493795
